,storm_speed,srh,srh_left,srh_right,bulk_shear,tornado,ef_rating,cape,cin
365,16.5,,,,18.80957203128237,1,1.0,952.5880081248288,-71.59741250342016
366,16.5,0.028299999999999957,,,14.847028527350972,1,1.0,1916.0517100441973,-87.02447222242485
367,15.4,,,,15.25409896994556,0,,7.922789979518377,-59.390696994333716
368,16.9,,,,13.617759969158238,0,,1170.2866248987157,-185.4545731219832
369,17.7,,,,20.671855976613017,0,,1467.925418196427,-121.21155694284835
370,17.7,0.000900000000000021,,,20.317418698277866,0,,281.1755005844342,-404.50974204755886
371,18.1,,,,22.005681754537918,0,,1565.1797195992974,-137.25914708144205
372,8.0,,,,13.972873144848949,1,0.0,1866.1558168256745,-144.14745929035334
373,8.0,,,,13.78092070744071,1,0.0,1420.621217849537,-166.5992602933172
374,8.0,,,,15.492340045710812,1,0.0,1129.8892957448788,0.0
375,12.0,,,,7.933867620034279,0,,1860.0084969032782,0.0
376,9.2,,,,18.93684711003496,0,,193.02650452371276,-210.92016018941834
377,10.0,,,,7.95335670028491,0,,66.81619725304684,-377.5969806380115
378,10.0,,,,19.44942158522973,0,,1592.3084742335268,-170.9835318853583
379,11.8,,,,2.7018512172212588,0,,2587.1852022714193,0.0
380,11.1,,,,11.372390373775714,0,,3.576570831095485,-587.9691761144419
381,11.0,,,,9.491831947801973,0,,0.0005663801670010917,-710.5750360294759
382,9.5,,,,13.209601493984833,0,,43.29032450683937,-579.979101407672
383,8.6,,,,3.404140482296566,0,,2.9050897848549053,-470.0918704745428
384,7.7,,,,9.055385138137417,0,,2795.705817698248,0.0
385,9.0,,,,8.217343251856247,0,,0.0,0.0
386,12.9,,,,14.363296852493637,0,,0.04697354409671513,-855.4543401096591
387,12.3,,,,15.07647173578752,0,,-51.06504544921149,-433.4278831148703
388,12.3,0.0189,,,0.8309748479902731,0,,,
389,11.5,,,,4.132554710876229,0,,2233.8223550695743,-31.75133408006586
390,8.6,,,,3.8180812499758074,0,,700.5982101828074,-63.447304037828474
391,13.8,,,,1.8904538851767227,0,,671.3987841597924,0.0
392,13.8,0.0046,,,4.527692569068709,0,,1199.6099924670734,-17.21638689794951
393,13.8,-0.0013999999999999872,,,1.8762032849744925,0,,1143.089167941291,-11.97811491306801
394,13.4,,,,1.6452378209589313,0,,643.609982923981,0.0
395,9.8,,,,4.668472916953202,0,,823.6975408832889,-13.437235510520035
396,10.8,,,,1.7174825114578656,0,,0.1633056193988602,0.0
397,8.7,,,,3.298484500494129,0,,1914.1738931797022,-24.213538103312274
398,10.2,,,,4.243574243489815,0,,1999.7053192685964,0.0
399,10.2,,,,6.307864945892277,0,,5.881431342296706,-68.74232843677625
400,8.4,,,,11.985354300368074,0,,1050.324583555155,-48.017490956388485
401,5.7,,,,5.560035070136787,0,,905.4857228494523,-35.15069239238277
402,4.3,-0.0049999999999999845,,,3.8343993846635613,0,,1453.3526665763095,-93.16995147540456
403,1.2,,,,2.0984846804942068,0,,1891.7326647436262,-30.384662473925243
404,1.5,,,,10.201718670210271,0,,1282.3559725607522,-89.43051100152047
405,17.7,,,,11.473161709472848,1,0.0,1705.6570279253663,-11.253948521880753
406,12.8,0.017499999999999932,,,10.55677358865557,1,0.0,145.9477608058094,-14.874356572243926
407,10.5,,,,8.011239709502469,1,0.0,1920.9893760616092,-22.41045380426533
408,10.0,,,,7.2112848178127615,1,0.0,1629.1718542131048,-6.4341741656255165
409,8.2,,,,13.081136073250612,1,0.0,376.09110101332516,-14.534008846441308
410,8.2,,,,6.941767679380918,1,0.0,1217.1104687112595,-23.658215083595408
411,8.2,,,,5.888881492164633,1,0.0,1594.8418378854058,-3.0612571127862838
412,8.0,0.004400000000000022,,,10.686311981794914,1,0.0,2916.594083160097,0.0
413,10.3,0.00979999999999999,,,6.780196040946269,1,2.0,1990.3069958475044,0.0
414,10.3,,,,20.840396632608623,1,2.0,0.9199575336282949,-377.64926386304586
415,10.2,,,,7.2034713853808015,1,2.0,7.086705072101007,-3.9724373060720475
416,9.2,0.02530000000000002,,,11.505632935728716,1,2.0,599.0180553724789,-18.70630651479961
417,10.2,,,,10.031948963187562,1,2.0,1094.207961400937,-55.773196464084634
418,10.0,0.01499999999999999,,,11.903780911962386,1,2.0,242.94670154715863,-15.562033660181097
419,9.7,-0.009299999999999996,,,12.568819539403393,1,2.0,0.0,0.0
420,9.7,,,,13.908064222649367,1,2.0,1253.6554145938185,-76.06560574735198
421,9.9,,,,11.295080785242904,0,,1457.451994499211,-22.705224675013827
422,9.9,0.03769999999999998,,,13.222709820962487,0,,107.83890382591503,-23.294021129075137
423,9.9,0.010200000000000004,,,12.042189251175483,0,,1122.6092441162798,-76.55424416750448
424,8.3,,,,20.381350771279703,0,,169.5759024681247,-205.13365160398791
425,16.3,,,,10.986990880805998,0,,1328.9604490500687,-78.23489432393404
426,16.3,,,,7.960122269479341,0,,2212.186403430663,0.0
427,16.3,,,,2.6035743062439116,0,,1728.3073272843803,0.0
428,16.3,,,,13.582585931355705,0,,-2.700073143533202,-186.19101811260722
429,13.2,-0.019600000000000013,,,11.876614917348205,0,,76.27066128759316,-262.2573635727361
430,15.9,,,,11.121032408889446,0,,2195.5581792764388,-15.766230475823166
431,16.7,,,,11.770383667670645,0,,0.11713440582218115,0.0
432,16.7,,,,12.914113088412714,0,,796.8331814908846,-96.68821820115322
433,16.7,,,,16.650789112595817,0,,1092.1850032221103,-126.29957391428779
434,11.6,,,,11.923884247371848,1,1.0,2451.7524591049078,-31.872727456050143
435,11.2,,,,15.24430169436842,1,1.0,0.0,0.0
436,11.2,0.0009999999999999883,,,14.403711598456601,1,1.0,20.520394242009058,-359.2848439452437
437,11.2,,,,14.140152888415216,1,1.0,14.506178184903321,-438.0522248045939
438,10.2,-0.00020000000000001017,,,13.987210930356348,0,,2001.035940078271,-37.6881870127216
439,12.3,,,,6.773671401482763,0,,405.7182633542231,-179.1288628674328
440,16.0,,,,14.908593007656561,0,,1509.265536648569,-54.16880719940071
441,12.8,,,,16.36132076778594,0,,800.7286307548115,-240.8337598944183
442,12.5,0.0029999999999999936,,,11.947646707924823,0,,728.1407455698251,-107.07551094269235
443,12.5,0.007100000000000007,,,10.319648160697273,0,,1382.9282907085915,0.0
444,12.4,,,,11.1243508591735,0,,931.2068774681462,-164.57057857259554
445,11.2,,,,13.1736556975321,0,,1403.219120640092,-82.24201877237711
446,11.2,,,,18.753599192504346,0,,1015.1987099403652,-162.29987264655142
447,11.0,,,,11.895393502329714,0,,839.3505624868205,-24.288296739488516
448,11.0,,,,14.105726383213081,0,,1209.9625216070501,-74.93575449774114
